Class Name Short,Class Name Long,Credits
AeroEngr 210,FUNDAMENTALS OF AERONAUTICS,3.0
AeroEngr 210S,FUND. OF AERO/ACADEMY SCHOLARS,3.0
AeroEngr 241,AERO-THERM-FLUIDS,3.0
AeroEngr 315,FUNDAMENTALS OF AERONAUTICS,3.0
AeroEngr 315S,FUND OF AERONAUTICS SCHOLARS,3.0
AeroEngr 315Z,FUNDAMENTALS OF AERONAUTICS,3.0
AeroEngr 342,COMPUTATION AERODYNA.,3.0
AeroEngr 352,AIRCRFT DYNA STAB/CONT,3.0
AeroEngr 361,PROPULSION I,3.0
AeroEngr 436,AIRCRAFT STRUCTURAL DYNAMICS,3.0
AeroEngr 446,INTRO TO HYPERSONICS,3.0
AeroEngr 456,FLIGHT TEST TECHNIQUES,3.0
AeroEngr 456L,FLIGHT TEST TECH LAB,1.0
AeroEngr 471,AERONAUTICAL LAB,3.0
AeroEngr 482,AIRCRAFT DESIGN,3.0
AeroEngr 483,AIRCRAFT ENGINE DESIGN,3.0
AeroEngr 495,ENGINEERING MATH,3.0
AeroEngr 499,INDEPENDENT STUDY,3.0
AeroEngr 499C,INDEPENDENT STUDY,1.0
Arabic 132,BASIC ARABIC,3.0
Arabic 222,INTER ARABIC II,3.0
Arabic 322,ADVANCED ARABIC COMMUNICATIONS,3.0
Arabic 410,CURR. EVENTS/ARABIC-SPKG WORLD,3.0
Armnshp 250E,INTRODUCTION TO SOARING,0.0
Armnshp 250F,INTRODUCTION TO SOARING,0.0
Armnshp 250G,INTRODUCTION TO SOARING,0.0
Armnshp 250H,INTRODUCTION TO SOARING,0.0
Armnshp 302,POWERED FLIGHT TRAINING,0.0
Armnshp 302X,POWERED FLIGHT TRAINING,0.0
Armnshp 303E,POWERED FLIGHT FUNDAMENTALS,0.0
Armnshp 303F,POWERED FLIGHT FUNDAMENTALS,0.0
Armnshp 303G,POWERED FLIGHT FUNDAMENTALS,0.0
Armnshp 303H,POWERED FLIGHT FUNDAMENTALS,0.0
Armnshp 461,SOARING INSTRUCTOR UPGRADE,3.0
Armnshp 465,PRECISION FLIGHT TRNG,0.0
Armnshp 471E,INTRO. TO SOARING - INSTRUCTOR,0.0
Armnshp 471F,INTRO. TO SOARING - INSTRUCTOR,0.0
Armnshp 471G,INTRO. TO SOARING - INSTRUCTOR,0.0
Armnshp 471H,INTRO. TO SOARING - INSTRUCTOR,0.0
Armnshp 473,SOARING INSTRUCTOR UPGRADE IP,0.0
Armnshp 474,SAILPLANE RACING/X-COUNTRY TEA,0.0
Armnshp 475,SAILPLANE RACING/CROSS-COUNTRY,0.0
Armnshp 490E,BASIC FREE FALL PARA,0.0
Armnshp 490F,BASIC FREE FALL PARA,0.0
Armnshp 491,ADV PARACHUTE TRAINING,3.0
Armnshp 496,PARACHUTE TEAM,0.0
AstroEngr 201,TECHNOLOGY SKILLS/ ASTRONAUTIC,1.0
AstroEngr 310,INTRODUCTION TO ASTRONAUTICS,3.0
AstroEngr 310S,INTRO TO ASTRONAUTICS/SCHOLARS,3.0
AstroEngr 321,INTERMEDIATE ASTRODYNAMICS,3.0
AstroEngr 331,SPACE SYS/ENGINEERING,3.0
AstroEngr 332,SATELLITE COMMUNICATIAONS,3.0
AstroEngr 335,HUMAN SPACEFLIGHT,3.0
AstroEngr 351,ROCKET PROPULSION,3.0
AstroEngr 422,ADVANCED ASTRODYNAMICS,3.0
AstroEngr 437,SMALL SPACECRAFT ENGR II,4.0
AstroEngr 445,SPACECRAFT ATT DYNAM & CONTROL,3.0
AstroEngr 499C,INDEPENDENT STUDY,1.0
Aviation 200E,INTRODUCTION TO POWERED FLIGHT,0.0
Aviation 200F,INTRODUCTION TO POWERED FLIGHT,0.0
Aviation 200G,INTRODUCTION TO POWERED FLIGHT,0.0
Aviation 200H,INTRODUCTION TO POWERED FLIGHT,0.0
Aviation 300F,POWRD FLGT TRNG GROUND SCHOOL,0.0
Aviation 300H,POWRD FLGT TRNG GROUND SCHOOL,0.0
Aviation 402,INTRODUCTION TO T-6 OPERATIONS,0.0
Aviation 402X,INTRODUCTION TO T-6 OPERATIONS,0.0
BehSci 110,INTRO TO BEHAVIORAL SCIENCES,3.0
BehSci 110S,SCHOLARS INTRO TO BEHAV. SCI.,3.0
BehSci 231,BASIC RESEARCH METHODS & STAT,3.0
BehSci 325,CONTEMP. LDRSHP & PRACTICE,3.0
BehSci 335,LEARNING AND COGNITION,3.0
BehSci 352,SOCIAL PSYCHOLOGY,3.0
BehSci 360,SOCIOLOGY,3.0
BehSci 366,ENVIRONMENTAL SOCIOLOGY,3.0
BehSci 373,INTRO/HUMAN FACTORS ENGINEERIN,3.0
BehSci 390,SENSATION & PERCEPTION,3.0
BehSci 440,LIFESPAN DEVELOPMENT,3.0
BehSci 473,HUMAN FACTORS ENGINEER DESIGN,3.0
BehSci 495,PRACTICAL TEAM LEADERSHIP,3.0
BehSci 498,SENIOR CAPSTONE,3.0
BehSci 498T2,SENIOR CAPSTONE,3.0
BehSci 498T5,SENIOR CAPSTONE,3.0
BehSci 499,INDEPENDENT STUDY,3.0
Biology 215,INTRO TO BIOLOGY W/LAB,4.0
Biology 320,BIOMECHANICS,3.0
Biology 330,ZOOLOGY,4.0
Biology 331,BOTANY,4.0
Biology 332,MICROBIAL DIVERSITY,3.0
Biology 360,CELL AND MOLECULAR BIOLOGY,3.0
Biology 363,GENETICS,4.0
Biology 365,SYNTHE BIO AND BIOTECH SEMNR I,1.5
Biology 380,PRINCIPLES OF ECOLOGY,3.0
Biology 431,MICROBIOLOGY,3.0
Biology 440,ANATOMY & PHYSIOLOGY: VISCERAL,3.0
Biology 459,PRINCIPLES OF EVOLUTION,3.0
Biology 480,BIOLOGY CAPSTONE SEMINAR,3.0
Biology 495,ENERGY PATHWAYS AND METABOLISM,3.0
